V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
58362 2014 3 29 10069 10104 10044 163 175 151 177 96 90 104 32766 10 24 52 16 104 16 0 
58362 2014 3 30 10156 10179 10105 139 182 116 125 80 59 0 32766 31 24 55 15 109 16 86 
58362 2014 3 31 10157 10181 10135 126 148 109 109 75 63 0 32766 33 28 48 4 77 4 0 
58362 2014 4 1 10151 10164 10136 143 187 122 127 79 47 0 32766 24 25 50 5 72 5 30 
58362 2014 4 2 10156 10171 10143 145 187 110 131 80 64 0 32766 17 25 43 6 67 6 2 
58362 2014 4 3 10171 10203 10148 150 203 123 126 76 40 0 32766 28 29 55 1 111 1 60 
58362 2014 4 4 10188 10216 10151 132 192 71 72 50 24 0 32766 46 25 50 2 106 15 96 
58362 2014 4 5 10191 10241 10148 129 185 87 84 57 36 0 32766 42 29 72 2 122 2 105 
58362 2014 4 6 10251 10273 10229 119 165 46 52 40 19 0 32766 50 24 54 4 94 6 88 
58362 2014 4 7 10184 10239 10151 139 186 103 104 65 36 32700 32766 41 33 51 9 89 8 60 
58362 2014 4 8 10161 10176 10148 163 213 130 140 77 53 6 32766 24 19 41 3 60 4 62 
58362 2014 4 9 10166 10187 10146 170 224 137 143 76 51 0 32766 27 17 44 4 65 4 81 
58362 2014 4 10 10172 10193 10154 180 248 116 107 57 13 32700 32766 46 21 48 4 73 5 76 
58362 2014 4 11 10148 10173 10126 153 192 122 137 79 57 32700 32766 28 35 52 4 79 5 22 
58362 2014 4 12 10100 10139 10083 168 183 151 178 93 85 462 32766 19 29 56 7 105 7 0 
58362 2014 4 13 10162 10199 10103 137 171 131 140 89 80 3 32766 17 26 52 13 101 2 0 
58362 2014 4 14 10213 10232 10198 148 204 89 128 78 44 0 32766 29 14 37 5 59 4 95 
58362 2014 4 15 10192 10216 10158 160 215 111 112 64 33 0 32766 47 33 61 6 97 7 105 
58362 2014 4 16 10119 10168 10089 171 192 147 166 85 65 67 32766 19 28 61 8 108 8 0 
58362 2014 4 17 10098 10120 10075 176 211 160 178 89 80 24 32766 13 18 44 14 69 14 0 
58362 2014 4 18 10158 10173 10120 151 176 134 142 82 67 0 32766 22 28 52 4 85 3 17 
58362 2014 4 19 10144 10165 10122 142 152 134 151 93 78 248 32766 24 40 60 4 102 6 0 
58362 2014 4 20 10169 10184 10158 145 168 130 136 83 68 32700 32766 23 36 48 4 71 4 0 
58362 2014 4 21 10164 10178 10148 135 149 127 133 86 71 92 32766 18 23 34 4 53 5 0 
58362 2014 4 22 10177 10195 10164 153 197 123 124 73 42 65 32766 28 19 38 3 69 3 55 
58362 2014 4 23 10177 10193 10151 154 213 89 106 64 26 0 32766 37 18 48 6 88 5 48 
58362 2014 4 24 10165 10180 10153 179 219 136 155 76 57 0 32766 30 36 58 7 97 7 42 
58362 2014 4 25 10177 10194 10168 190 230 170 161 74 55 2 32766 37 45 78 7 150 6 28 
58362 2014 4 26 10151 10173 10143 176 183 171 186 92 81 309 32766 47 43 59 8 117 8 0 
58362 2014 4 27 10135 10157 10117 175 189 167 180 90 77 116 32766 22 26 63 14 99 13 0 
58362 2014 4 28 10151 10161 10134 168 180 160 145 76 65 32700 32766 25 31 64 15 122 14 6 
58362 2014 4 29 10145 10166 10121 171 221 115 129 69 29 0 32766 34 30 58 14 111 1 30 
58362 2014 4 30 10135 10153 10116 179 235 114 122 63 29 0 32766 36 21 40 8 64 8 91 
58362 2014 5 1 10135 10149 10116 214 279 149 153 60 37 0 32766 37 18 38 4 61 14 87 
58362 2014 5 2 10159 10199 10137 229 305 164 147 55 27 32700 32766 46 29 56 13 102 16 91 
58362 2014 5 3 10208 10228 10185 169 194 157 100 53 28 32700 32766 54 24 47 6 95 7 0 
58362 2014 5 4 10164 10194 10141 160 181 146 132 73 53 97 32766 20 13 40 7 76 1 0 
58362 2014 5 5 10215 10232 10193 162 199 131 73 41 20 0 32766 49 24 38 4 77 3 93 
58362 2014 5 6 10194 10229 10164 170 223 92 72 40 18 0 32766 60 30 59 9 96 9 109 
58362 2014 5 7 10113 10171 10073 203 265 148 133 57 34 0 32766 53 37 53 9 94 9 111 
58362 2014 5 8 10133 10157 10091 197 242 160 147 66 36 0 32766 37 25 54 4 94 3 105 
58362 2014 5 9 10153 10163 10137 171 209 157 141 73 52 0 32766 34 28 49 6 87 4 80 
58362 2014 5 10 10125 10153 10099 182 195 168 187 89 65 27 32766 19 34 55 6 105 6 0 
58362 2014 5 11 10060 10105 10038 210 238 190 221 89 81 144 32766 13 44 69 9 115 8 0 
58362 2014 5 12 10108 10124 10087 217 269 158 151 61 36 1 32766 27 14 39 13 59 14 90 
